All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total K2O,Korea DPR,1996,0.6
Grand Total K2O,Korea DPR,1997,0.8
Grand Total K2O,Korea DPR,1998,2.9
Grand Total K2O,Korea DPR,1999,40
Grand Total K2O,Korea DPR,2000,39
Grand Total K2O,Korea DPR,2001,41
Grand Total K2O,Korea DPR,2002,31
Grand Total K2O,Korea DPR,2003,31
Grand Total K2O,Korea DPR,2004,30
Grand Total K2O,Korea DPR,2005,35.1
Grand Total K2O,Korea DPR,2006,37
Grand Total K2O,Korea DPR,2007,40
Grand Total K2O,Korea DPR,2008,35
Grand Total K2O,Korea DPR,2009,25
Grand Total K2O,Korea DPR,2010,40
Grand Total K2O,Korea DPR,2011,40
Grand Total K2O,Korea DPR,2012,41
Grand Total K2O,Korea DPR,2013,40
Grand Total K2O,Korea DPR,2014,30
Grand Total K2O,Korea DPR,2015,25
Grand Total K2O,Korea DPR,2016,25
Grand Total K2O,Korea DPR,2017,25
Grand Total K2O,Korea DPR,2018,25
Grand Total K2O,Korea DPR,2019,26.5
Grand Total K2O,Trinidad and Tobago,1986,0.9
Grand Total K2O,Trinidad and Tobago,1987,2
Grand Total K2O,Trinidad and Tobago,1988,0.6
Grand Total K2O,Trinidad and Tobago,1989,1.6
Grand Total K2O,Trinidad and Tobago,1990,1.4
Grand Total K2O,Trinidad and Tobago,1991,1.6
Grand Total K2O,Trinidad and Tobago,1992,1.8
Grand Total K2O,Trinidad and Tobago,1993,1.8
Grand Total K2O,Trinidad and Tobago,1994,1.4
Grand Total K2O,Trinidad and Tobago,1995,3
Grand Total K2O,Trinidad and Tobago,1996,3.4
Grand Total K2O,Trinidad and Tobago,1997,3.6
Grand Total K2O,Trinidad and Tobago,1998,1.7
Grand Total K2O,Trinidad and Tobago,1999,0.6
Grand Total K2O,Trinidad and Tobago,2000,0.6
Grand Total K2O,Trinidad and Tobago,2001,0.6
Grand Total K2O,Trinidad and Tobago,2002,0.8
Grand Total K2O,Trinidad and Tobago,2003,0.8
Grand Total K2O,Trinidad and Tobago,2004,0.8
Grand Total K2O,Trinidad and Tobago,2005,0.4
Grand Total K2O,Trinidad and Tobago,2006,0.3
Grand Total K2O,Trinidad and Tobago,2007,0.3
Grand Total K2O,Trinidad and Tobago,2008,0.1
Grand Total K2O,Trinidad and Tobago,2009,0.2
Grand Total K2O,Trinidad and Tobago,2010,0.5
Grand Total K2O,Trinidad and Tobago,2011,0.6
Grand Total K2O,Trinidad and Tobago,2012,0.6
Grand Total K2O,Trinidad and Tobago,2013,1.3
Grand Total K2O,Trinidad and Tobago,2014,1.6
Grand Total K2O,Trinidad and Tobago,2015,1.8
Grand Total K2O,Trinidad and Tobago,2016,2.1
Grand Total K2O,Trinidad and Tobago,2017,2
Grand Total K2O,Trinidad and Tobago,2018,1.2
Grand Total K2O,Trinidad and Tobago,2019,1.5
Grand Total K2O,Romania,1986,230
Grand Total K2O,Romania,1987,230
Grand Total K2O,Romania,1988,235
Grand Total K2O,Romania,1989,240
Grand Total K2O,Romania,1990,134
Grand Total K2O,Romania,1991,43
Grand Total K2O,Romania,1992,26
Grand Total K2O,Romania,1993,25
Grand Total K2O,Romania,1994,34.7
Grand Total K2O,Romania,1995,3.4
Grand Total K2O,Romania,1996,15
Grand Total K2O,Romania,1997,10
Grand Total K2O,Romania,1998,12
Grand Total K2O,Romania,1999,9
Grand Total K2O,Romania,2000,14.6
Grand Total K2O,Romania,2001,15
Grand Total K2O,Romania,2002,14
Grand Total K2O,Romania,2003,13
Grand Total K2O,Romania,2004,17
Grand Total K2O,Romania,2005,20
Grand Total K2O,Romania,2006,15
Grand Total K2O,Romania,2007,37
Grand Total K2O,Romania,2008,17
Grand Total K2O,Romania,2009,17
Grand Total K2O,Romania,2010,17
Grand Total K2O,Romania,2011,34
Grand Total K2O,Romania,2012,23
Grand Total K2O,Romania,2013,33
Grand Total K2O,Romania,2014,34.1
Grand Total K2O,Romania,2015,38
Grand Total K2O,Romania,2016,52.1
Grand Total K2O,Romania,2017,69.9
Grand Total K2O,Romania,2018,67.4
Grand Total K2O,Romania,2019,63.3
Grand Total K2O,France,1986,1878.6
Grand Total K2O,France,1987,1856.1
Grand Total K2O,France,1988,1934.7
Grand Total K2O,France,1989,1948.6
Grand Total K2O,France,1990,1841.9
Grand Total K2O,France,1991,1741
Grand Total K2O,France,1992,1347
Grand Total K2O,France,1993,1375
Grand Total K2O,France,1994,1373.4
Grand Total K2O,France,1995,1491.1
Grand Total K2O,France,1996,1488.2
Grand Total K2O,France,1997,1436.9
Grand Total K2O,France,1998,1337.7
Grand Total K2O,France,1999,1216.4
Grand Total K2O,France,2000,1033.5
Grand Total K2O,France,2001,1014.5
Grand Total K2O,France,2002,960.1
Grand Total K2O,France,2003,932
Grand Total K2O,France,2004,900
Grand Total K2O,France,2005,734.8
Grand Total K2O,France,2006,731.1
Grand Total K2O,France,2007,794.2
Grand Total K2O,France,2008,390.4
Grand Total K2O,France,2009,416.2
Grand Total K2O,France,2010,598.1
Grand Total K2O,France,2011,481.2
Grand Total K2O,France,2012,510.1
Grand Total K2O,France,2013,448.1
Grand Total K2O,France,2014,455.9
Grand Total K2O,France,2015,370.1
Grand Total K2O,France,2016,390
Grand Total K2O,France,2017,444
Grand Total K2O,France,2018,458
Grand Total K2O,France,2019,453
Grand Total K2O,Nigeria,1986,55.1
Grand Total K2O,Nigeria,1987,53.6
Grand Total K2O,Nigeria,1988,70
Grand Total K2O,Nigeria,1989,90
Grand Total K2O,Nigeria,1990,94.2
Grand Total K2O,Nigeria,1991,106.6
Grand Total K2O,Nigeria,1992,105
Grand Total K2O,Nigeria,1993,110
Grand Total K2O,Nigeria,1994,60
Grand Total K2O,Nigeria,1995,33
Grand Total K2O,Nigeria,1996,36
Grand Total K2O,Nigeria,1997,39
Grand Total K2O,Nigeria,1998,24
Grand Total K2O,Nigeria,1999,26
Grand Total K2O,Nigeria,2000,37.9
Grand Total K2O,Nigeria,2001,26
Grand Total K2O,Nigeria,2002,26
Grand Total K2O,Nigeria,2003,20
Grand Total K2O,Nigeria,2004,26.9
Grand Total K2O,Nigeria,2005,34.7
Grand Total K2O,Nigeria,2006,30
Grand Total K2O,Nigeria,2007,40
Grand Total K2O,Nigeria,2008,47
Grand Total K2O,Nigeria,2009,40
Grand Total K2O,Nigeria,2010,37
Grand Total K2O,Nigeria,2011,38
Grand Total K2O,Nigeria,2012,38
Grand Total K2O,Nigeria,2013,53.7
Grand Total K2O,Nigeria,2014,62.2
Grand Total K2O,Nigeria,2015,25.1
Grand Total K2O,Nigeria,2016,59.3
Grand Total K2O,Nigeria,2017,136.2
Grand Total K2O,Nigeria,2018,113.7
Grand Total K2O,Nigeria,2019,18.1
Grand Total K2O,Croatia,1986,0
Grand Total K2O,Croatia,1987,0
Grand Total K2O,Croatia,1988,0
Grand Total K2O,Croatia,1989,0
Grand Total K2O,Croatia,1990,0
Grand Total K2O,Croatia,1991,0
Grand Total K2O,Croatia,1992,0
Grand Total K2O,Croatia,1993,0
Grand Total K2O,Croatia,1994,48
Grand Total K2O,Croatia,1995,47
Grand Total K2O,Croatia,1996,52.5
Grand Total K2O,Croatia,1997,68
Grand Total K2O,Croatia,1998,43
Grand Total K2O,Croatia,1999,51
Grand Total K2O,Croatia,2000,58
Grand Total K2O,Croatia,2001,38.3
Grand Total K2O,Croatia,2002,31.5
Grand Total K2O,Croatia,2003,51.5
Grand Total K2O,Croatia,2004,51
Grand Total K2O,Croatia,2005,68
Grand Total K2O,Croatia,2006,69
Grand Total K2O,Croatia,2007,73.8
Grand Total K2O,Croatia,2008,68
Grand Total K2O,Croatia,2009,35.9
Grand Total K2O,Croatia,2010,34
Grand Total K2O,Croatia,2011,25
Grand Total K2O,Croatia,2012,30
Grand Total K2O,Croatia,2013,29
Grand Total K2O,Croatia,2014,27
Grand Total K2O,Croatia,2015,24
Grand Total K2O,Croatia,2016,29
Grand Total K2O,Croatia,2017,30
Grand Total K2O,Croatia,2018,33
Grand Total K2O,Croatia,2019,30.3
Grand Total K2O,Serbia,1986,0
Grand Total K2O,Serbia,1987,0
Grand Total K2O,Serbia,1988,0
Grand Total K2O,Serbia,1989,0
Grand Total K2O,Serbia,1990,0
Grand Total K2O,Serbia,1991,0
Grand Total K2O,Serbia,1992,0
Grand Total K2O,Serbia,1993,0
Grand Total K2O,Serbia,1994,0
Grand Total K2O,Serbia,1995,0
Grand Total K2O,Serbia,1996,35
Grand Total K2O,Serbia,1997,24
Grand Total K2O,Serbia,1998,25
Grand Total K2O,Serbia,1999,29
Grand Total K2O,Serbia,2000,29
Grand Total K2O,Serbia,2001,34
Grand Total K2O,Serbia,2002,34.5
Grand Total K2O,Serbia,2003,35
Grand Total K2O,Serbia,2004,36
Grand Total K2O,Serbia,2005,36
Grand Total K2O,Serbia,2006,35
Grand Total K2O,Serbia,2007,35
Grand Total K2O,Serbia,2008,35
Grand Total K2O,Serbia,2009,20
Grand Total K2O,Serbia,2010,21
Grand Total K2O,Serbia,2011,22
Grand Total K2O,Serbia,2012,23
Grand Total K2O,Serbia,2013,26.6
Grand Total K2O,Serbia,2014,47
Grand Total K2O,Serbia,2015,30.3
Grand Total K2O,Serbia,2016,47.5
Grand Total K2O,Serbia,2017,44.8
Grand Total K2O,Serbia,2018,43.7
Grand Total K2O,Serbia,2019,45.1
Grand Total K2O,Kuwait,1986,0
Grand Total K2O,Kuwait,1987,0
Grand Total K2O,Kuwait,1988,0
Grand Total K2O,Kuwait,1989,0
Grand Total K2O,Kuwait,1990,0
Grand Total K2O,Kuwait,1991,0
Grand Total K2O,Kuwait,1992,0
Grand Total K2O,Kuwait,1993,0
Grand Total K2O,Kuwait,1994,0
Grand Total K2O,Kuwait,1995,0
Grand Total K2O,Kuwait,1996,0
Grand Total K2O,Kuwait,1997,0
Grand Total K2O,Kuwait,1998,0
Grand Total K2O,Kuwait,1999,0
Grand Total K2O,Kuwait,2000,0
Grand Total K2O,Kuwait,2001,0
Grand Total K2O,Kuwait,2002,0
Grand Total K2O,Kuwait,2003,0
Grand Total K2O,Kuwait,2004,0.3
Grand Total K2O,Kuwait,2005,0.2
Grand Total K2O,Kuwait,2006,1.8
Grand Total K2O,Kuwait,2007,1.9
Grand Total K2O,Kuwait,2008,1.9
Grand Total K2O,Kuwait,2009,0.6
Grand Total K2O,Kuwait,2010,0
Grand Total K2O,Kuwait,2011,0
Grand Total K2O,Kuwait,2012,0
Grand Total K2O,Kuwait,2013,5.7
Grand Total K2O,Kuwait,2014,5.4
Grand Total K2O,Kuwait,2015,7.3
Grand Total K2O,Kuwait,2016,9.9
Grand Total K2O,Kuwait,2017,11.5
Grand Total K2O,Kuwait,2018,12.5
Grand Total K2O,Kuwait,2019,9.3
Grand Total K2O,Kazakhstan,1986,0
Grand Total K2O,Kazakhstan,1987,0
Grand Total K2O,Kazakhstan,1988,0
Grand Total K2O,Kazakhstan,1989,0
Grand Total K2O,Kazakhstan,1990,10
Grand Total K2O,Kazakhstan,1991,10
Grand Total K2O,Kazakhstan,1992,10
Grand Total K2O,Kazakhstan,1993,7
Grand Total K2O,Kazakhstan,1994,6
Grand Total K2O,Kazakhstan,1995,6
Grand Total K2O,Kazakhstan,1996,6
Grand Total K2O,Kazakhstan,1997,6
Grand Total K2O,Kazakhstan,1998,0.2
Grand Total K2O,Kazakhstan,1999,2.1
Grand Total K2O,Kazakhstan,2000,2.1
Grand Total K2O,Kazakhstan,2001,2.1
Grand Total K2O,Kazakhstan,2002,2.1
Grand Total K2O,Kazakhstan,2003,2.1
Grand Total K2O,Kazakhstan,2004,2.7
Grand Total K2O,Kazakhstan,2005,2.7
Grand Total K2O,Kazakhstan,2006,2
Grand Total K2O,Kazakhstan,2007,2
Grand Total K2O,Kazakhstan,2008,2.2
Grand Total K2O,Kazakhstan,2009,2.5
Grand Total K2O,Kazakhstan,2010,2.6
Grand Total K2O,Kazakhstan,2011,2.8
Grand Total K2O,Kazakhstan,2012,6.2
Grand Total K2O,Kazakhstan,2013,7.6
Grand Total K2O,Kazakhstan,2014,7.8
Grand Total K2O,Kazakhstan,2015,10.3
Grand Total K2O,Kazakhstan,2016,15.7
Grand Total K2O,Kazakhstan,2017,16.4
Grand Total K2O,Kazakhstan,2018,16
Grand Total K2O,Kazakhstan,2019,5.4
Grand Total K2O,Viet Nam,1986,71
Grand Total K2O,Viet Nam,1987,44.4
Grand Total K2O,Viet Nam,1988,38.3
Grand Total K2O,Viet Nam,1989,41.3
Grand Total K2O,Viet Nam,1990,29.2
Grand Total K2O,Viet Nam,1991,16
Grand Total K2O,Viet Nam,1992,41.6
Grand Total K2O,Viet Nam,1993,23.8
Grand Total K2O,Viet Nam,1994,68.4
Grand Total K2O,Viet Nam,1995,88
Grand Total K2O,Viet Nam,1996,109
Grand Total K2O,Viet Nam,1997,162
Grand Total K2O,Viet Nam,1998,271
Grand Total K2O,Viet Nam,1999,377
Grand Total K2O,Viet Nam,2000,450
Grand Total K2O,Viet Nam,2001,399.8
Grand Total K2O,Viet Nam,2002,393.4
Grand Total K2O,Viet Nam,2003,500
Grand Total K2O,Viet Nam,2004,548.9
Grand Total K2O,Viet Nam,2005,351.7
Grand Total K2O,Viet Nam,2006,408
Grand Total K2O,Viet Nam,2007,433
Grand Total K2O,Viet Nam,2008,378.4
Grand Total K2O,Viet Nam,2009,300
Grand Total K2O,Viet Nam,2010,400
Grand Total K2O,Viet Nam,2011,440
Grand Total K2O,Viet Nam,2012,552
Grand Total K2O,Viet Nam,2013,593.6
Grand Total K2O,Viet Nam,2014,624.4
Grand Total K2O,Viet Nam,2015,521.6
Grand Total K2O,Viet Nam,2016,670.4
Grand Total K2O,Viet Nam,2017,621.8
Grand Total K2O,Viet Nam,2018,508.2
Grand Total K2O,Viet Nam,2019,557.5
Grand Total K2O,Kyrgyzstan,1986,0
Grand Total K2O,Kyrgyzstan,1987,0
Grand Total K2O,Kyrgyzstan,1988,0
Grand Total K2O,Kyrgyzstan,1989,0
Grand Total K2O,Kyrgyzstan,1990,10
Grand Total K2O,Kyrgyzstan,1991,10
Grand Total K2O,Kyrgyzstan,1992,5
Grand Total K2O,Kyrgyzstan,1993,5
Grand Total K2O,Kyrgyzstan,1994,5
Grand Total K2O,Kyrgyzstan,1995,5
Grand Total K2O,Kyrgyzstan,1996,5
Grand Total K2O,Kyrgyzstan,1997,5
Grand Total K2O,Kyrgyzstan,1998,0.3
Grand Total K2O,Kyrgyzstan,1999,0.1
Grand Total K2O,Kyrgyzstan,2000,0.1
Grand Total K2O,Kyrgyzstan,2001,0
Grand Total K2O,Kyrgyzstan,2002,0
Grand Total K2O,Kyrgyzstan,2003,0
Grand Total K2O,Kyrgyzstan,2004,0
Grand Total K2O,Kyrgyzstan,2005,0
Grand Total K2O,Kyrgyzstan,2006,0
Grand Total K2O,Kyrgyzstan,2007,0
Grand Total K2O,Kyrgyzstan,2008,0
Grand Total K2O,Kyrgyzstan,2009,0
Grand Total K2O,Kyrgyzstan,2010,0
Grand Total K2O,Kyrgyzstan,2011,0
Grand Total K2O,Kyrgyzstan,2012,0
Grand Total K2O,Kyrgyzstan,2013,4
Grand Total K2O,Kyrgyzstan,2014,1.2
Grand Total K2O,Kyrgyzstan,2015,0
Grand Total K2O,Kyrgyzstan,2016,0.1
Grand Total K2O,Kyrgyzstan,2017,0.4
Grand Total K2O,Kyrgyzstan,2018,1.2
Grand Total K2O,Kyrgyzstan,2019,2.9
Grand Total K2O,Tanzania,1986,3.9
Grand Total K2O,Tanzania,1987,3.4
Grand Total K2O,Tanzania,1988,3.4
Grand Total K2O,Tanzania,1989,3.8
Grand Total K2O,Tanzania,1990,2.8
Grand Total K2O,Tanzania,1991,4.7
Grand Total K2O,Tanzania,1992,4.8
Grand Total K2O,Tanzania,1993,3.2
Grand Total K2O,Tanzania,1994,3.6
Grand Total K2O,Tanzania,1995,5
Grand Total K2O,Tanzania,1996,4.1
Grand Total K2O,Tanzania,1997,5.9
Grand Total K2O,Tanzania,1998,5.6
Grand Total K2O,Tanzania,1999,2.2
Grand Total K2O,Tanzania,2000,2.3
Grand Total K2O,Tanzania,2001,2.3
Grand Total K2O,Tanzania,2002,2
Grand Total K2O,Tanzania,2003,1
Grand Total K2O,Tanzania,2004,3
Grand Total K2O,Tanzania,2005,2.6
Grand Total K2O,Tanzania,2006,1.8
Grand Total K2O,Tanzania,2007,2.9
Grand Total K2O,Tanzania,2008,0.6
Grand Total K2O,Tanzania,2009,1
Grand Total K2O,Tanzania,2010,11.7
Grand Total K2O,Tanzania,2011,14.3
Grand Total K2O,Tanzania,2012,9.3
Grand Total K2O,Tanzania,2013,15.7
Grand Total K2O,Tanzania,2014,11.1
Grand Total K2O,Tanzania,2015,12.5
Grand Total K2O,Tanzania,2016,9
Grand Total K2O,Tanzania,2017,13.1
Grand Total K2O,Tanzania,2018,14.1
Grand Total K2O,Tanzania,2019,7.3
Grand Total K2O,Lebanon,1986,3.5
Grand Total K2O,Lebanon,1987,3.5
Grand Total K2O,Lebanon,1988,4.3
Grand Total K2O,Lebanon,1989,3.6
Grand Total K2O,Lebanon,1990,2.4
Grand Total K2O,Lebanon,1991,2.3
Grand Total K2O,Lebanon,1992,3.9
Grand Total K2O,Lebanon,1993,4.2
Grand Total K2O,Lebanon,1994,4
Grand Total K2O,Lebanon,1995,4
Grand Total K2O,Lebanon,1996,4
Grand Total K2O,Lebanon,1997,8.3
Grand Total K2O,Lebanon,1998,8.3
Grand Total K2O,Lebanon,1999,9.7
Grand Total K2O,Lebanon,2000,9.5
Grand Total K2O,Lebanon,2001,8.9
Grand Total K2O,Lebanon,2002,8.8
Grand Total K2O,Lebanon,2003,8.7
Grand Total K2O,Lebanon,2004,6.7
Grand Total K2O,Lebanon,2005,8.1
Grand Total K2O,Lebanon,2006,8.1
Grand Total K2O,Lebanon,2007,8.3
Grand Total K2O,Lebanon,2008,8.2
Grand Total K2O,Lebanon,2009,7.2
Grand Total K2O,Lebanon,2010,8
Grand Total K2O,Lebanon,2011,8
Grand Total K2O,Lebanon,2012,7
Grand Total K2O,Lebanon,2013,6.9
Grand Total K2O,Lebanon,2014,5.4
Grand Total K2O,Lebanon,2015,7.1
Grand Total K2O,Lebanon,2016,6.6
Grand Total K2O,Lebanon,2017,9.5
Grand Total K2O,Lebanon,2018,6.4
Grand Total K2O,Lebanon,2019,5.7
Grand Total K2O,Tunisia,1986,1
Grand Total K2O,Tunisia,1987,5
Grand Total K2O,Tunisia,1988,5
Grand Total K2O,Tunisia,1989,8.3
Grand Total K2O,Tunisia,1990,2
Grand Total K2O,Tunisia,1991,2.1
Grand Total K2O,Tunisia,1992,2
Grand Total K2O,Tunisia,1993,2.5
Grand Total K2O,Tunisia,1994,3
Grand Total K2O,Tunisia,1995,2
Grand Total K2O,Tunisia,1996,4
Grand Total K2O,Tunisia,1997,5
Grand Total K2O,Tunisia,1998,6
Grand Total K2O,Tunisia,1999,4.2
Grand Total K2O,Tunisia,2000,4.2
Grand Total K2O,Tunisia,2001,5
Grand Total K2O,Tunisia,2002,5
Grand Total K2O,Tunisia,2003,5.5
Grand Total K2O,Tunisia,2004,5.6
Grand Total K2O,Tunisia,2005,5.6
Grand Total K2O,Tunisia,2006,5.6
Grand Total K2O,Tunisia,2007,5.6
Grand Total K2O,Tunisia,2008,5.2
Grand Total K2O,Tunisia,2009,5
Grand Total K2O,Tunisia,2010,4.9
Grand Total K2O,Tunisia,2011,5.4
Grand Total K2O,Tunisia,2012,5
Grand Total K2O,Tunisia,2013,3.9
Grand Total K2O,Tunisia,2014,3.9
Grand Total K2O,Tunisia,2015,4
Grand Total K2O,Tunisia,2016,5.3
Grand Total K2O,Tunisia,2017,5
Grand Total K2O,Tunisia,2018,5.9
Grand Total K2O,Tunisia,2019,6.2
Grand Total K2O,Qatar,1986,0
Grand Total K2O,Qatar,1987,0
Grand Total K2O,Qatar,1988,0
Grand Total K2O,Qatar,1989,0
Grand Total K2O,Qatar,1990,0
Grand Total K2O,Qatar,1991,0
Grand Total K2O,Qatar,1992,0
Grand Total K2O,Qatar,1993,0
Grand Total K2O,Qatar,1994,0
Grand Total K2O,Qatar,1995,0
Grand Total K2O,Qatar,1996,0
Grand Total K2O,Qatar,1997,0
Grand Total K2O,Qatar,1998,0
Grand Total K2O,Qatar,1999,0
Grand Total K2O,Qatar,2000,0
Grand Total K2O,Qatar,2001,0
Grand Total K2O,Qatar,2002,0
Grand Total K2O,Qatar,2003,0
Grand Total K2O,Qatar,2004,0.6
Grand Total K2O,Qatar,2005,0
Grand Total K2O,Qatar,2006,1.3
Grand Total K2O,Qatar,2007,1.6
Grand Total K2O,Qatar,2008,3.8
Grand Total K2O,Qatar,2009,0.1
Grand Total K2O,Qatar,2010,0.9
Grand Total K2O,Qatar,2011,0
Grand Total K2O,Qatar,2012,0
Grand Total K2O,Qatar,2013,2
Grand Total K2O,Qatar,2014,2.4
Grand Total K2O,Qatar,2015,0.8
Grand Total K2O,Qatar,2016,2.1
Grand Total K2O,Qatar,2017,1.6
Grand Total K2O,Qatar,2018,2.7
Grand Total K2O,Qatar,2019,2
Grand Total K2O,North Macedonia,1986,0
Grand Total K2O,North Macedonia,1987,0
Grand Total K2O,North Macedonia,1988,0
Grand Total K2O,North Macedonia,1989,0
Grand Total K2O,North Macedonia,1990,0
Grand Total K2O,North Macedonia,1991,0
Grand Total K2O,North Macedonia,1992,0
Grand Total K2O,North Macedonia,1993,0
Grand Total K2O,North Macedonia,1994,14
Grand Total K2O,North Macedonia,1995,6
Grand Total K2O,North Macedonia,1996,6
Grand Total K2O,North Macedonia,1997,9.4
Grand Total K2O,North Macedonia,1998,4.5
Grand Total K2O,North Macedonia,1999,8
Grand Total K2O,North Macedonia,2000,9
Grand Total K2O,North Macedonia,2001,5
Grand Total K2O,North Macedonia,2002,5
Grand Total K2O,North Macedonia,2003,5
Grand Total K2O,North Macedonia,2004,5
Grand Total K2O,North Macedonia,2005,5
Grand Total K2O,North Macedonia,2006,5
Grand Total K2O,North Macedonia,2007,5
Grand Total K2O,North Macedonia,2008,5
Grand Total K2O,North Macedonia,2009,2.5
Grand Total K2O,North Macedonia,2010,3
Grand Total K2O,North Macedonia,2011,3.5
Grand Total K2O,North Macedonia,2012,5
Grand Total K2O,North Macedonia,2013,4.1
Grand Total K2O,North Macedonia,2014,3.8
Grand Total K2O,North Macedonia,2015,4
Grand Total K2O,North Macedonia,2016,4.7
Grand Total K2O,North Macedonia,2017,3.4
Grand Total K2O,North Macedonia,2018,3.5
Grand Total K2O,North Macedonia,2019,3.8
Grand Total K2O,Myanmar,1986,14.5
Grand Total K2O,Myanmar,1987,8.8
Grand Total K2O,Myanmar,1988,1.8
Grand Total K2O,Myanmar,1989,1.7
Grand Total K2O,Myanmar,1990,2.7
Grand Total K2O,Myanmar,1991,5.5
Grand Total K2O,Myanmar,1992,1.3
Grand Total K2O,Myanmar,1993,2.6
Grand Total K2O,Myanmar,1994,2.2
Grand Total K2O,Myanmar,1995,7.6
Grand Total K2O,Myanmar,1996,10
Grand Total K2O,Myanmar,1997,7.2
Grand Total K2O,Myanmar,1998,2.3
Grand Total K2O,Myanmar,1999,9
Grand Total K2O,Myanmar,2000,10
Grand Total K2O,Myanmar,2001,4.8
Grand Total K2O,Myanmar,2002,3
Grand Total K2O,Myanmar,2003,9.1
Grand Total K2O,Myanmar,2004,3
Grand Total K2O,Myanmar,2005,4
Grand Total K2O,Myanmar,2006,4
Grand Total K2O,Myanmar,2007,4
Grand Total K2O,Myanmar,2008,3
Grand Total K2O,Myanmar,2009,3
Grand Total K2O,Myanmar,2010,8
Grand Total K2O,Myanmar,2011,9
Grand Total K2O,Myanmar,2012,12
Grand Total K2O,Myanmar,2013,20.9
Grand Total K2O,Myanmar,2014,28.6
Grand Total K2O,Myanmar,2015,31.6
Grand Total K2O,Myanmar,2016,31.3
Grand Total K2O,Myanmar,2017,53.3
Grand Total K2O,Myanmar,2018,77.3
Grand Total K2O,Myanmar,2019,134.6
Grand Total K2O,Venezuela,1986,118.9
Grand Total K2O,Venezuela,1987,127.6
Grand Total K2O,Venezuela,1988,146
Grand Total K2O,Venezuela,1989,116.2
Grand Total K2O,Venezuela,1990,110
Grand Total K2O,Venezuela,1991,79.1
Grand Total K2O,Venezuela,1992,65
Grand Total K2O,Venezuela,1993,62
Grand Total K2O,Venezuela,1994,55
Grand Total K2O,Venezuela,1995,63
Grand Total K2O,Venezuela,1996,70
Grand Total K2O,Venezuela,1997,61.4
Grand Total K2O,Venezuela,1998,41.7
Grand Total K2O,Venezuela,1999,48
Grand Total K2O,Venezuela,2000,55
Grand Total K2O,Venezuela,2001,64
Grand Total K2O,Venezuela,2002,61
Grand Total K2O,Venezuela,2003,61
Grand Total K2O,Venezuela,2004,64
Grand Total K2O,Venezuela,2005,73
Grand Total K2O,Venezuela,2006,70
Grand Total K2O,Venezuela,2007,101
Grand Total K2O,Venezuela,2008,81
Grand Total K2O,Venezuela,2009,70
Grand Total K2O,Venezuela,2010,90
Grand Total K2O,Venezuela,2011,96
Grand Total K2O,Venezuela,2012,117
Grand Total K2O,Venezuela,2013,114.7
Grand Total K2O,Venezuela,2014,173.7
Grand Total K2O,Venezuela,2015,101.1
Grand Total K2O,Venezuela,2016,101
Grand Total K2O,Venezuela,2017,41.9
Grand Total K2O,Venezuela,2018,38.6
Grand Total K2O,Venezuela,2019,4.6
Grand Total K2O,Sri Lanka,1986,54.5
Grand Total K2O,Sri Lanka,1987,59.8
Grand Total K2O,Sri Lanka,1988,62
Grand Total K2O,Sri Lanka,1989,61.6
Grand Total K2O,Sri Lanka,1990,49.6
Grand Total K2O,Sri Lanka,1991,50.5
Grand Total K2O,Sri Lanka,1992,51.1
Grand Total K2O,Sri Lanka,1993,58.5
Grand Total K2O,Sri Lanka,1994,60
Grand Total K2O,Sri Lanka,1995,55.8
Grand Total K2O,Sri Lanka,1996,58.6
Grand Total K2O,Sri Lanka,1997,56.1
Grand Total K2O,Sri Lanka,1998,61.6
Grand Total K2O,Sri Lanka,1999,61.6
Grand Total K2O,Sri Lanka,2000,59.1
Grand Total K2O,Sri Lanka,2001,54.1
Grand Total K2O,Sri Lanka,2002,56
Grand Total K2O,Sri Lanka,2003,47
Grand Total K2O,Sri Lanka,2004,53.1
Grand Total K2O,Sri Lanka,2005,61
Grand Total K2O,Sri Lanka,2006,71
Grand Total K2O,Sri Lanka,2007,73
Grand Total K2O,Sri Lanka,2008,70
Grand Total K2O,Sri Lanka,2009,50
Grand Total K2O,Sri Lanka,2010,70
Grand Total K2O,Sri Lanka,2011,75
Grand Total K2O,Sri Lanka,2012,66.2
Grand Total K2O,Sri Lanka,2013,130.7
Grand Total K2O,Sri Lanka,2014,95.1
Grand Total K2O,Sri Lanka,2015,108.1
Grand Total K2O,Sri Lanka,2016,50.7
Grand Total K2O,Sri Lanka,2017,53
Grand Total K2O,Sri Lanka,2018,98.3
Grand Total K2O,Sri Lanka,2019,84.7
Grand Total K2O,Germany,1986,1511.9
Grand Total K2O,Germany,1987,1431.5
Grand Total K2O,Germany,1988,1470.4
Grand Total K2O,Germany,1989,1387.2
Grand Total K2O,Germany,1990,954.4
Grand Total K2O,Germany,1991,729
Grand Total K2O,Germany,1992,673
Grand Total K2O,Germany,1993,645
